rep,plate,well,treatment,end_status_long,end_status,time_to_event,remaining_pollen,prewinter_cocoon_weight,days_to_def,def_to_cocoon,larva_stage,larva_nest,larva_number
4e1,Plate4,e1,Hb,coccoon,1,26,2,0.0516,3,23,larva,23,3
4e3,Plate4,e3,Hb,coccoon,1,29,3,0.0545,3,26,larva,23,4
4e5,Plate4,e5,LbA,coccoon,1,26,0,0.0851,4,22,egg,22,6
4e7,Plate4,e7,LbA,coccoon,1,26,0,0.0838,4,22,larva,22,4
4e9,Plate4,e9,C,coccoon,1,26,0,0.0857,5,21,egg,23,9
4e11,Plate4,e11,LbA,coccoon,1,34,1,0.0518,5,29,egg no pedestal,22,7
4g1,Plate4,g1,A,coccoon,1,23,0,0.0885,2,21,larva,23,3
4g3,Plate4,g3,HbA,coccoon,1,23,0,0.0817,2,21,larva,23,1
4g5,Plate4,g5,HbA,coccoon,1,29,2,0.0477,4,25,larva,22,5
4g7,Plate4,g7,Hb,coccoon,1,29,0,0.0962,4,25,larva,14,4
4g9,Plate4,g9,Hb,coccoon,1,26,0,0.0812,4,22,larva,15,5
4g11,Plate4,g11,A,coccoon,1,26,0,0.0897,4,22,larva,15,4
5a1,Plate5,a1,C,coccoon,1,26,0,0.0784,3,23,larva,15,3
5a3,Plate5,a3,HbA,dead,2,8,,,5,,larva,12,6
5a5,Plate5,a5,A,coccoon,1,29,1,0.0919,5,24,egg,14,6
5a7,Plate5,a7,Lb,coccoon,1,26,0,0.0869,5,21,larva,14,5
5a9,Plate5,a9,Lb,coccoon,1,26,0,0.0927,5,21,egg no pedestal,10,5
5a11,Plate5,a11,HbA,coccoon,1,29,0,0.0881,5,24,egg,10,6
5c1,Plate5,c1,HbA,dead,2,26,,,4,,egg,10,4
5c3,Plate5,c3,C,coccoon,1,23,2,0.0676,4,19,larva,12,4
5c5,Plate5,c5,Lb,coccoon,1,23,1,0.0901,3,20,larva,12,5
5c7,Plate5,c7,LbA,coccoon,1,23,1,0.0831,3,20,larva,12,3
5c9,Plate5,c9,LbA,coccoon,1,23,0,0.0921,4,19,larva,9,5
5c11,Plate5,c11,Hb,coccoon,1,26,0,0.0826,3,23,larva,9,3
5e1,Plate5,e1,LbA,coccoon,1,26,0,0.0848,4,22,larva,7,4
5e3,Plate5,e3,Hb,coccoon,1,26,0,0.0843,4,22,egg,7,5
5e5,Plate5,e5,A,coccoon,1,23,0,0.0847,3,20,larva,7,3
5e7,Plate5,e7,A,coccoon,1,20,0,0.0856,3,17,larva,9,4
5e9,Plate5,e9,Lb,coccoon,1,26,0,0.0845,4,22,larva,6,5
5e11,Plate5,e11,LbA,coccoon,1,23,0,0.09,3,20,larva,3,4
5g1,Plate5,g1,Hb,coccoon,1,29,1,0.0793,4,25,larva,6,4
5g3,Plate5,g3,Hb,coccoon,1,23,0,0.088,3,20,larva,6,2
5g5,Plate5,g5,C,coccoon,1,23,0,0.0827,3,20,larva,6,3
5g7,Plate5,g7,A,coccoon,1,29,0,0.0876,5,24,egg,19,6
5g9,Plate5,g9,HbA,coccoon,1,29,1,0.0846,5,24,larva,20,5
5g11,Plate5,g11,C,coccoon,1,26,0,0.085,4,22,larva,20,4
